MeasureID,BldgType,BldgVint,BldgLoc,BldgHVAC,tstat,PreTechID,PreSizingID,StdTechID,StdSizingID,MeasTechID,MsrSizingID,SizingSrc,EU_HrRepVar,NormUnit
NE-Ref_Storage-Ver,Gro,Ex,CZ02,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ03,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ04,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ05,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ06,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ07,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ08,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ09,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ10,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ11,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ12,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ13,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ14,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ15,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ16,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-PSC-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ01,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ02,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ03,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ04,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ05,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ06,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ07,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ08,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ09,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ10,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ11,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ12,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ13,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ14,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ15,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ16,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,None,NE-Ref_Storage-VertDisplay-LT-SHP-Std,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ01,cDXGF,0,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ02,cDXGF,0,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ03,cDXGF,0,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ04,cDXGF,0,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ05,cDXGF,0,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ06,cDXGF,0,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ07,cDXGF,0,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ08,cDXGF,0,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ09,cDXGF,0,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ10,cDXGF,0,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ11,cDXGF,0,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ12,cDXGF,0,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ13,cDXGF,0,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ14,cDXGF,0,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ15,cDXGF,0,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ16,cDXGF,0,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-MT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ01,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-LT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ02,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-LT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ03,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-LT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ04,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-LT-ECM-Msr,None,,,Each
NE-Ref_Storage-Ver,Gro,Ex,CZ05,cDXGF,0,NE-Ref_Storage-VertDisplay-LT-ECM-Msr,None,,None,NE-Ref_Storage-VertDisplay-LT-ECM-Msr,None,,,Each
